# ----------------------------------------,,,
# Accident,,,
# Location,,,
# 20200101-20210113,,,
# ----------------------------------------,,,
,,,
City,Sessions,New Users,Pageviews
Jackson Springs,1,1,2
Lattimore,1,1,1
Lawndale,1,1,1
Lewisville,1,1,1
Littleton,1,1,2
Manns Harbor,1,1,1
Marble,1,1,2
Marshall,1,1,2
Maxton,1,1,1
Mayodan,1,1,2
McLeansville,1,1,2
McCain,1,1,2
Mount Ulla,1,1,1
Mountain Home,1,1,1
Naples,1,1,2
Nebo,1,1,2
Newland,1,1,2
Newton Grove,1,1,2
Oriental,1,1,2
Pembroke,1,1,2
Pfafftown,1,1,1
Pilot Mountain,1,1,1
Pisgah Forest,1,1,2
Poplar Branch,1,1,2
Randleman,1,1,1
Rutherford College,1,1,1
Saluda,1,1,1
Southport,1,1,1
Star,1,1,2
Sunbury,1,1,1
Supply,1,1,2
Swepsonville,1,1,1
Tabor City,1,1,1
Tillery,1,1,1
Tobaccoville,1,1,2
Valdese,1,1,2
Vale,1,1,1
Wadesboro,1,1,1
West End,1,1,2
Winterville,1,1,2
Winton,1,1,1
Beulaville,1,1,1
China Grove,1,1,1
Liberty,1,1,1
North Topsail Beach,1,1,1
Wesley Chapel,1,1,1
Woodfin,1,1,1
(not set),1,1,1
(not set),1,1,1
(not set),1,1,1
(not set),1,0,1
(not set),1,1,1
(not set),1,1,1
(not set),1,1,1
Stokesdale,1,1,1
(not set),1,1,1
(not set),1,1,2
(not set),1,1,1
(not set),1,1,1
(not set),1,0,2
(not set),1,1,1
(not set),1,0,1
(not set),1,1,1
(not set),1,1,1
(not set),1,1,1
(not set),1,1,1
(not set),1,1,1
(not set),1,1,2
(not set),1,1,1
(not set),1,1,1
(not set),1,1,1
(not set),1,1,1
(not set),1,1,1
,"4,140","3,291","5,635"
